"Category","Total"
"04/22",1
"04/23",0
"04/24",0
"04/25",0
"04/26",1
"04/27",0
"04/28",0
"04/29",0
"04/30",0
"05/01",1
"05/02",0
"05/03",0
"05/04",1
"05/05",0
